CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
MTRG1031,G,INGENIERÍA DE POLÍMEROS,2021,0S,"8,77"
MTRG1032,G,INTRODUCCIÓN A LA INGENIERÍA EN MATERIALES,2020,0S,"7,81"
MTRG1034,T,MATERIA INTEGRADORA DE MATERIALES,2022,0S,"8,18"
MTRG1036,G,SOLDADURA Y ENSAYOS NO DESTRUCTIVOS,2021,0S,"7,83"
MTRG1037,G,PROPIEDADES  FUNCIONALES DE LOS  MATERIALES,2021,0S,"6,59"
MTRG1038,G,SÍNTESIS DE MATERIALES,2020,0S,"7,51"
MTRG1039,G,TRANSFORMACIONES DE FASES,2020,0S,"6,73"
MTRG1040,G,TERMODINÁMICA DE MATERIALES,2020,0S,"7,03"
MTRG1041,G,NANOTECNOLOGÍA Y NANOMATERIALES,2021,0S,"7,34"
NAVG1025,G,CONSTRUCCIONES METÁLICAS DE BUQUES,2020,0S,"7,55"
NAVG1027,G,DINÁMICA DEL BUQUE,2020,0S,"6,95"
NAVG1028,G,DISEÑO DE BUQUES,2020,0S,"6,60"
NAVG1029,G,ELECTRICIDAD Y ELECTRÓNICA PARA BUQUES,2020,0S,"8,67"
NAVG1030,G,ESTABILIDAD DEL BUQUE,2020,0S,"5,86"
NAVG1031,G,ESTRUCTURA DEL BUQUE,2020,0S,"4,56"
NAVG1032,G,FORMAS E HIDROSTÁTICA DEL BUQUE,2020,0S,"4,75"
NAVG1033,G,GESTIÓN MARÍTIMA PORTUARIA,2020,0S,"6,33"
NAVG1034,T,MATERIA INTEGRADORA DE INGENIERÍA NAVAL,2020,0S,"8,74"
NAVG1035,G,TRANSPORTE MARÍTIMO,2020,0S,"8,03"
NAVG1037,G,MAQUINARIA MARÍTIMA II,2020,0S,"7,04"
NAVG1038,G,RESISTENCIA Y PROPULSIÓN DE BUQUES,2020,0S,"6,01"
NAVG1039,G,MAQUINARIA MARÍTIMA I,2020,0S,"7,08"
NAVG1040,G,MATERIALES EN MEDIOS MARINOS,2020,0S,"6,47"
NAVG1041,G,VIBRACIONES MECÁNICAS,2020,0S,"5,04"
NAVG1042,G,ELEMENTOS FINITOS,2020,0S,"6,88"
NAVT3001,G,SISTEMAS PORTUARIOS,2023,0S,"7,20"
NAVT3002,G,INTRODUCCIÓN A LA LOGÍSTICA PORTUARIA,2023,0S,"7,85"
NAVT3003,G,ESTRUCTURA DE BUQUES,2024,0S,"9,07"
NUTG2003,G,TÉCNICAS DIETÉTICAS BÁSICAS,2017,1S,"7,84"
NUTG2015,G,EDUCACIÓN NUTRICIONAL,2017,1S,"7,62"
NUTG2021,G,NUTRICIÓN DEPORTIVA,2017,1S,"7,85"
NUTG2026,G,BIOÉTICA,2020,0S,"8,69"
NUTG2027,G,DIETOTERAPIA AVANZADA,2020,0S,"8,38"
NUTG2028,G,DIETOTERAPIA BÁSICA,2020,0S,"8,70"
